arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_asc_0120.png,dás,das,real0120,483,-1,True,agudo,acima,1,True,326,0.39805,0.13814,False,,,,,,,,0.39805,,
real_asc_0121.png,dàs,das,real0121,714,-1,True,grave,acima,1,True,297,0.79839,0.17553,False,,,,,,,,0.79839,,
real_asc_0122.png,câda,cada,real0122,857,-1,True,circunflexo,acima,1,True,227,0.38345,0.16594,False,,,,,,,,0.38345,,
real_asc_0123.png,quê,que,real0123,888,-1,True,circunflexo,acima,2,True,27,0.09712,0.02387,False,,,,,,,,0.09712,,
real_asc_0124.png,aõs,aos,real0124,175,-1,True,til,acima,1,True,6,0.00726,0.0049,False,,,,,,,,0.00726,,
real_asc_0125.png,priméiro,primeiro,real0125,998,-1,True,agudo,acima,4,True,158,0.34573,0.11686,False,,,,,,,,0.34573,,
real_asc_0126.png,estã,esta,real0126,668,-1,True,til,acima,3,True,44,0.10732,0.04583,False,,,,,,,,0.10732,,
real_asc_0127.png,dós,dos,real0127,819,-1,True,agudo,acima,1,True,111,0.18257,0.07757,False,,,,,,,,0.18257,,
real_asc_0128.png,Dessà,Dessa,real0128,453,-1,True,grave,acima,4,True,320,3.90244,0.08806,False,,,,,,,,3.90244,,
real_asc_0129.png,çom,com,real0129,644,-1,True,cedilha,abaixo,0,True,26,0.05936,0.04727,False,,,,,,,,0.05936,,
real_asc_0130.png,Pàra,Para,real0130,696,-1,True,grave,acima,1,True,273,0.54491,0.23698,False,,,,,,,,0.54491,,
real_asc_0131.png,tâis,tais,real0131,857,-1,True,circunflexo,acima,1,True,493,2.3932,0.23955,False,,,,,,,,2.3932,,
real_asc_0132.png,quê,que,real0132,444,-1,True,circunflexo,acima,2,True,313,5.30508,0.16864,False,,,,,,,,5.30508,,
real_asc_0133.png,vezés,vezes,real0133,385,-1,True,agudo,acima,3,True,51,0.1018,0.03125,False,,,,,,,,0.1018,,
real_asc_0134.png,primeirã,primeira,real0134,438,-1,True,til,acima,7,True,29,0.16571,0.04603,False,,,,,,,,0.16571,,
real_asc_0135.png,perspectivã,perspectiva,real0135,193,-1,True,til,acima,10,True,0,0.0,0.0,False,,,,,,,,0.0,,
real_asc_0136.png,sóbre,sobre,real0136,241,-1,True,agudo,acima,1,True,63,0.1119,0.05385,False,,,,,,,,0.1119,,
real_asc_0137.png,Issõ,Isso,real0137,101,-1,True,til,acima,3,True,15,0.04902,0.01163,False,,,,,,,,0.04902,,
real_asc_0138.png,Pôr,Por,real0138,335,-1,True,circunflexo,acima,1,True,171,0.5979,0.285,False,,,,,,,,0.5979,,
real_asc_0139.png,sociedàde,sociedade,real0139,857,-1,True,grave,acima,6,True,127,0.25349,0.09953,False,,,,,,,,0.25349,,
real_asc_0140.png,Vàn,Van,real0140,64,-1,True,grave,acima,1,True,354,1.27338,0.1756,False,,,,,,,,1.27338,,
real_asc_0141.png,essés,esses,real0141,437,-1,True,agudo,acima,3,True,108,0.21218,0.0605,False,,,,,,,,0.21218,,
real_asc_0142.png,põstura,postura,real0142,438,-1,True,til,acima,1,True,355,1.55702,0.24653,False,,,,,,,,1.55702,,
real_asc_0143.png,formâ,forma,real0143,247,-1,True,circunflexo,acima,4,True,42,0.0913,0.02303,False,,,,,,,,0.0913,,
real_asc_0144.png,çontemporaneidade,contemporaneidade,real0144,108,-1,True,cedilha,abaixo,0,True,0,0.0,0.0,False,,,,,,,,0.0,,
real_asc_0145.png,trà,tra,real0145,273,-1,True,grave,acima,2,True,88,0.30662,0.125,False,,,,,,,,0.30662,,
real_asc_0146.png,dás,das,real0146,218,-1,True,agudo,acima,1,True,65,0.1035,0.03517,False,,,,,,,,0.1035,,
real_asc_0147.png,Bràsileiros,Brasileiros,real0147,796,-1,True,grave,acima,2,True,40,0.0907,0.04202,False,,,,,,,,0.0907,,
real_asc_0148.png,pôder,poder,real0148,383,-1,True,circunflexo,acima,1,True,98,0.15313,0.05364,False,,,,,,,,0.15313,,
