arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,fileiras_pauta,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_acc_0000.png,psicólogos,psicologos,real0000,958,-1,True,agudo,acima,4,True,4,234,0.94355,0.10174,False,,,,,,assimilance,0.8,0.94355,True,degradacao_com_diacritico
real_acc_0001.png,elucidação,elucidacao,real0001,862,-1,True,cedilha,abaixo,7,True,3,24,0.06452,0.03209,False,,,,,,elucidacias .,0.2,0.06452,False,omissao_do_acento
real_acc_0001.png,elucidação,elucidacao,real0001,862,-1,True,til,acima,8,True,3,33,0.0801,0.02778,False,,,,,,elucidacias .,0.2,0.0801,False,omissao_do_acento
real_acc_0002.png,vivência,vivencia,real0002,458,-1,True,circunflexo,acima,3,True,1,97,0.24808,0.06929,False,,,,,,preceivers .,1.125,0.24808,True,degradacao_com_diacritico
real_acc_0003.png,àquelas,aquelas,real0003,446,-1,True,grave,acima,0,True,2,169,2.22368,0.15533,False,,,,,,3 liquidants .,1.0,2.22368,True,degradacao_com_diacritico
real_acc_0004.png,pública,publica,real0004,446,-1,True,agudo,acima,1,True,2,256,1.23671,0.23594,False,,,,,,1million .,0.8571428571428571,1.23671,True,degradacao_com_diacritico
real_acc_0005.png,perpetuação,perpetuacao,real0005,812,-1,True,cedilha,abaixo,8,True,2,103,0.32595,0.0933,False,,,,,,perpetuation,0.2727272727272727,0.32595,True,acerto
real_acc_0005.png,perpetuação,perpetuacao,real0005,812,-1,True,til,acima,9,True,2,50,0.15924,0.04348,False,,,,,,perpetuation,0.2727272727272727,0.15924,True,acerto
real_acc_0006.png,econômico,economico,real0006,384,-1,True,circunflexo,acima,4,True,0,68,0.11203,0.05519,False,,,,,,economic,0.1111111111111111,0.11203,False,omissao_do_acento
real_acc_0007.png,àqueles,aqueles,real0007,244,-1,True,grave,acima,0,True,3,96,0.34532,0.07973,False,,,,,,riapresses .,0.8571428571428571,0.34532,True,degradacao_com_diacritico
real_acc_0008.png,não,nao,real0008,459,-1,True,til,acima,1,True,0,196,0.35125,0.09771,False,,,,,,""" Chicago",1.6666666666666667,0.35125,True,degradacao_com_diacritico
real_acc_0009.png,psíquicos,psiquicos,real0009,233,-1,True,agudo,acima,2,True,2,107,0.39194,0.1019,False,,,,,,pricympies .,0.7777777777777778,0.39194,True,degradacao_com_diacritico
real_acc_0010.png,aquisição,aquisicao,real0010,383,-1,True,cedilha,abaixo,6,True,4,22,0.0694,0.04365,False,,,,,,exrequisites .,0.7777777777777778,0.0694,False,degradacao_sem_diacritico
real_acc_0010.png,aquisição,aquisicao,real0010,383,-1,True,til,acima,7,True,4,530,1.79661,0.37749,False,,,,,,exrequisites .,0.7777777777777778,1.79661,True,degradacao_com_diacritico
real_acc_0011.png,instância,instancia,real0011,862,-1,True,circunflexo,acima,4,True,3,72,0.20225,0.05357,False,,,,,,"simatancia ,",0.3333333333333333,0.20225,True,acerto
real_acc_0012.png,àqueles,aqueles,real0012,819,-1,True,grave,acima,0,True,2,49,0.21875,0.0349,False,,,,,,ioguels .,0.5714285714285714,0.21875,True,degradacao_com_diacritico
real_acc_0013.png,depressão,depressao,real0013,247,-1,True,til,acima,7,True,2,303,1.52261,0.14239,False,,,,,,"deparesciao ,",0.3333333333333333,1.52261,True,acerto
real_acc_0014.png,psíquico,psiquico,real0014,110,-1,True,agudo,acima,2,True,0,93,0.52841,0.14441,False,,,,,,"3 "" participation .",1.375,0.52841,True,degradacao_com_diacritico
real_acc_0015.png,preço,preco,real0015,797,-1,True,cedilha,abaixo,3,True,3,172,0.31852,0.21078,False,,,,,,sprego,0.4,0.31852,True,acerto
real_acc_0016.png,equinânime,equinanime,real0016,892,-1,True,circunflexo,acima,5,True,4,148,0.36364,0.09946,False,,,,,,sequisitionaire .,0.8,0.36364,True,degradacao_com_diacritico
real_acc_0017.png,àquele,aquele,real0017,106,-1,True,grave,acima,0,True,3,225,1.1194,0.10227,False,,,,,,exigmile .,1.0,1.1194,True,degradacao_com_diacritico
real_acc_0018.png,artística,artistica,real0018,813,-1,True,agudo,acima,3,True,3,237,1.43636,0.1881,False,,,,,,contistice .,0.4444444444444444,1.43636,True,acerto
real_acc_0019.png,manutenção,manutencao,real0019,438,-1,True,cedilha,abaixo,7,True,3,57,0.16864,0.08432,False,,,,,,marquetes going into,1.1,0.16864,True,degradacao_com_diacritico
real_acc_0019.png,manutenção,manutencao,real0019,438,-1,True,til,acima,8,True,3,150,0.4451,0.09014,False,,,,,,marquetes going into,1.1,0.4451,True,degradacao_com_diacritico
real_acc_0020.png,ausência,ausencia,real0020,372,-1,True,circunflexo,acima,3,True,0,315,0.3198,0.19444,False,,,,,,ansienxia,0.375,0.3198,True,acerto
real_acc_0021.png,Lumière,Lumiere,real0021,881,-1,True,grave,acima,4,True,4,116,0.23868,0.05461,False,,,,,,"flannshire ,",1.0,0.23868,True,degradacao_com_diacritico
real_acc_0022.png,filósofo,filosofo,real0022,447,-1,True,agudo,acima,3,True,4,62,0.28704,0.07949,False,,,,,,gilship,0.625,0.28704,True,degradacao_com_diacritico
real_acc_0023.png,avanços,avancos,real0023,383,-1,True,cedilha,abaixo,4,True,3,15,0.02547,0.02219,False,,,,,,- announces,0.7142857142857143,0.02547,False,degradacao_sem_diacritico
real_acc_0024.png,econômico,economico,real0024,385,-1,True,circunflexo,acima,4,True,2,136,0.20827,0.07589,False,,,,,,economic,0.1111111111111111,0.20827,True,acerto
real_acc_0025.png,àqueles,aqueles,real0025,385,-1,True,grave,acima,0,True,4,232,1.24064,0.10288,False,,,,,,inqueles .,0.2857142857142857,1.24064,True,acerto
real_acc_0026.png,precários,precarios,real0026,813,-1,True,agudo,acima,4,True,4,44,0.16357,0.03543,False,,,,,,penecomics .,0.5555555555555556,0.16357,True,degradacao_com_diacritico
real_acc_0027.png,associações,associacoes,real0027,205,-1,True,cedilha,abaixo,7,True,1,50,0.13089,0.06649,False,,,,,,environmental significance,1.9090909090909092,0.13089,True,degradacao_com_diacritico
real_acc_0027.png,associações,associacoes,real0027,205,-1,True,til,acima,8,True,1,160,0.34858,0.10417,False,,,,,,environmental significance,1.9090909090909092,0.34858,True,degradacao_com_diacritico
real_acc_0028.png,Porquês,Porques,real0028,453,-1,True,circunflexo,acima,5,True,1,183,2.10345,0.13034,False,,,,,,""" Ronguish """,0.7142857142857143,2.10345,True,degradacao_com_diacritico
real_acc_0029.png,àqueles,aqueles,real0029,385,-1,True,grave,acima,0,True,1,312,0.72558,0.14092,False,,,,,,cannettes .,0.7142857142857143,0.72558,True,degradacao_com_diacritico
real_acc_0030.png,cinematográficas,cinematograficas,real0030,897,-1,True,agudo,acima,10,True,4,57,0.16011,0.06597,False,,,,,,cinemataginous,0.4375,0.16011,True,acerto
