arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_acc_0000.png,psicólogos,psicologos,real0000,958,-1,True,agudo,acima,4,True,234,0.94355,0.10174,False,,,,,,,,0.94355,,
real_acc_0001.png,elucidação,elucidacao,real0001,862,-1,True,cedilha,abaixo,7,True,24,0.06452,0.03209,False,,,,,,,,0.06452,,
real_acc_0001.png,elucidação,elucidacao,real0001,862,-1,True,til,acima,8,True,33,0.0801,0.02778,False,,,,,,,,0.0801,,
real_acc_0002.png,vivência,vivencia,real0002,458,-1,True,circunflexo,acima,3,True,97,0.24808,0.06929,False,,,,,,,,0.24808,,
real_acc_0003.png,àquelas,aquelas,real0003,446,-1,True,grave,acima,0,True,169,2.22368,0.15533,False,,,,,,,,2.22368,,
real_acc_0004.png,pública,publica,real0004,446,-1,True,agudo,acima,1,True,256,1.23671,0.23594,False,,,,,,,,1.23671,,
real_acc_0005.png,perpetuação,perpetuacao,real0005,812,-1,True,cedilha,abaixo,8,True,103,0.32595,0.0933,False,,,,,,,,0.32595,,
real_acc_0005.png,perpetuação,perpetuacao,real0005,812,-1,True,til,acima,9,True,50,0.15924,0.04348,False,,,,,,,,0.15924,,
real_acc_0006.png,econômico,economico,real0006,384,-1,True,circunflexo,acima,4,True,68,0.11203,0.05519,False,,,,,,,,0.11203,,
real_acc_0007.png,àqueles,aqueles,real0007,244,-1,True,grave,acima,0,True,96,0.34532,0.07973,False,,,,,,,,0.34532,,
real_acc_0008.png,não,nao,real0008,459,-1,True,til,acima,1,True,196,0.35125,0.09771,False,,,,,,,,0.35125,,
real_acc_0009.png,psíquicos,psiquicos,real0009,233,-1,True,agudo,acima,2,True,107,0.39194,0.1019,False,,,,,,,,0.39194,,
real_acc_0010.png,aquisição,aquisicao,real0010,383,-1,True,cedilha,abaixo,6,True,22,0.0694,0.04365,False,,,,,,,,0.0694,,
real_acc_0010.png,aquisição,aquisicao,real0010,383,-1,True,til,acima,7,True,530,1.79661,0.37749,False,,,,,,,,1.79661,,
real_acc_0011.png,instância,instancia,real0011,862,-1,True,circunflexo,acima,4,True,72,0.20225,0.05357,False,,,,,,,,0.20225,,
real_acc_0012.png,àqueles,aqueles,real0012,819,-1,True,grave,acima,0,True,49,0.21875,0.0349,False,,,,,,,,0.21875,,
real_acc_0013.png,depressão,depressao,real0013,247,-1,True,til,acima,7,True,303,1.52261,0.14239,False,,,,,,,,1.52261,,
real_acc_0014.png,psíquico,psiquico,real0014,110,-1,True,agudo,acima,2,True,93,0.52841,0.14441,False,,,,,,,,0.52841,,
real_acc_0015.png,preço,preco,real0015,797,-1,True,cedilha,abaixo,3,True,172,0.31852,0.21078,False,,,,,,,,0.31852,,
real_acc_0016.png,equinânime,equinanime,real0016,892,-1,True,circunflexo,acima,5,True,148,0.36364,0.09946,False,,,,,,,,0.36364,,
real_acc_0017.png,àquele,aquele,real0017,106,-1,True,grave,acima,0,True,225,1.1194,0.10227,False,,,,,,,,1.1194,,
real_acc_0018.png,artística,artistica,real0018,813,-1,True,agudo,acima,3,True,237,1.43636,0.1881,False,,,,,,,,1.43636,,
real_acc_0019.png,manutenção,manutencao,real0019,438,-1,True,cedilha,abaixo,7,True,57,0.16864,0.08432,False,,,,,,,,0.16864,,
real_acc_0019.png,manutenção,manutencao,real0019,438,-1,True,til,acima,8,True,150,0.4451,0.09014,False,,,,,,,,0.4451,,
real_acc_0020.png,ausência,ausencia,real0020,372,-1,True,circunflexo,acima,3,True,315,0.3198,0.19444,False,,,,,,,,0.3198,,
real_acc_0021.png,Lumière,Lumiere,real0021,881,-1,True,grave,acima,4,True,116,0.23868,0.05461,False,,,,,,,,0.23868,,
real_acc_0022.png,filósofo,filosofo,real0022,447,-1,True,agudo,acima,3,True,62,0.28704,0.07949,False,,,,,,,,0.28704,,
real_acc_0023.png,avanços,avancos,real0023,383,-1,True,cedilha,abaixo,4,True,15,0.02547,0.02219,False,,,,,,,,0.02547,,
real_acc_0024.png,econômico,economico,real0024,385,-1,True,circunflexo,acima,4,True,136,0.20827,0.07589,False,,,,,,,,0.20827,,
real_acc_0025.png,àqueles,aqueles,real0025,385,-1,True,grave,acima,0,True,232,1.24064,0.10288,False,,,,,,,,1.24064,,
real_acc_0026.png,precários,precarios,real0026,813,-1,True,agudo,acima,4,True,44,0.16357,0.03543,False,,,,,,,,0.16357,,
real_acc_0027.png,associações,associacoes,real0027,205,-1,True,cedilha,abaixo,7,True,50,0.13089,0.06649,False,,,,,,,,0.13089,,
real_acc_0027.png,associações,associacoes,real0027,205,-1,True,til,acima,8,True,160,0.34858,0.10417,False,,,,,,,,0.34858,,
real_acc_0028.png,Porquês,Porques,real0028,453,-1,True,circunflexo,acima,5,True,183,2.10345,0.13034,False,,,,,,,,2.10345,,
real_acc_0029.png,àqueles,aqueles,real0029,385,-1,True,grave,acima,0,True,312,0.72558,0.14092,False,,,,,,,,0.72558,,
real_acc_0030.png,cinematográficas,cinematograficas,real0030,897,-1,True,agudo,acima,10,True,57,0.16011,0.06597,False,,,,,,,,0.16011,,
real_acc_0031.png,população,populacao,real0031,797,-1,True,cedilha,abaixo,6,True,158,0.40102,0.19949,False,,,,,,,,0.40102,,
real_acc_0031.png,população,populacao,real0031,797,-1,True,til,acima,7,True,273,0.64539,0.2298,False,,,,,,,,0.64539,,
real_acc_0032.png,prevê,preve,real0032,819,-1,True,circunflexo,acima,4,True,5,0.07937,0.00252,False,,,,,,,,0.07937,,
real_acc_0033.png,política,politica,real0033,399,-1,True,agudo,acima,3,True,265,1.09504,0.30886,False,,,,,,,,1.09504,,
real_acc_0034.png,moção,mocao,real0034,444,-1,True,cedilha,abaixo,2,True,160,0.46647,0.16771,False,,,,,,,,0.46647,,
